beer_id,name,all_text
6,Turbodog,turbodog flavor flavors turbodog ale turbodog drink turbodog turbodog delightful flavor turbodog turbodog brown turbodog reddish turbodog pretty turbodog look turbodog smells turbodog fine turbodog looks brown ale turbodog darker turbodog sweet turbodog slightly turbodog bourbon pleasant turbodog bottles turbodog turbodog quite turbodog great turbodog decent mix turbodog caramel turbodog brown ales crisp turbodog turbodog appearance definitely turbodog love turbodog lager turbodog great turbodog enjoyed turbodog turbodog solid brew turbo turbodog wow better turbodog makes turbodog stout turbo tasting turbo choose turbodog liter turbodog drinkable turbo odd turbodog type turbodog brown beers curious turbodog brown flavors turbodog liked turbodog average turbodog overly brown drinkability drinking turbo brown flavor turbodog beers brown turbodog hazelnut stomach turbodog turbodog beige tan turbodog turbodog favor brown brew turbodog probably turbodog yellow drink turbo turbodog maybe turbodog recommend drinkable brown turbodog clear poured turbodog impression turbodog brewery brown turbodog berry hazlenut turbodog flavor turbo turbodog ive ale brownish think turbodog turbodog medium turbodog poured special turbodog flavors brown things turbodog turbo brown turbodog following turbodog doesn buy turbodog turbodog heavy turbodog english turbodog quenches turbodog easy pour turbodog beery chocolate look turbodog turbodog perfect brew brown flavored ale quenching turbodog pack turbodog turbodog way turbodog does drinkability brown place turbodog brown fizzy gives turbodog says turbodog turbodog says glass turbodog brown sugary turbodog guess brews brown try turbodog drinking brown turbodog starts offer turbodog brew flavour flavorful brown tried turbodog turbodog finishes fit turbodog turbodog lot turbodog cold turbodog crafted flavorful brew tasting brown believe turbodog brown toffee bottling brown brew flavor brew flavorful temperature turbodog revisited turbodog flavors brew turbodog bottoms work turbodog turbodog eager brown tastes brown chocolately brew flavors turbodog classify turbodog ve turbo dog date turbodog bottoms turbodog turbodog murky brown chocolate years turbodog spices turbodog flagship turbodog ale fizzy
7,Purple Haze,haze flavors haze flavor flavour haze haze brew haze purple purple haze haze raspberry brewery purple color hazey purple brew brew purple brew hazed brewing purple beers orange haze fruit fruity beers haze orange color haze brews purple lightish flavor hazed orange beers fruity orange haze haze aroma haze drinkable raspberry beers fruitty beers beery flavours beers berry brown haze brew berry beers flavor beerdom aroma beers rasberries haze reddish berry flavor haze pretty berry aroma haze pinkish dull flavor lager purple fruit beers raspberry flavor hazed amber beeriness brew beers raspberry flavored beers berry aromas haze darker blueberry flavor berries purple berry purple raspberries bland rasberries purple berry flavorful raspberries aroma definitely berryish purple fruitiness crappy beers raspberries purple noticeable flavor beers fruit berry flavors brown ale fruity brew beers flavors haze suggests aroma purple lightly hazed raspberry flavored flavored bud brew flavor ale raspberries berry flavores berry flavoring berryish pure brew berries berry flavored flavored brew aroma berries haze amazing berry sweetness flavored raspberry haze refreshing flavor ale hazey pink rasberry flavor haze fake haze excellent beers subtle haze looks orange brew brew orange beery smell hue brew purple aroma haze reviews evident beers drinking purple darker brew berrylike sour raspberry flavour flavor brew beers pretty raspberry sweetness slight haze raspberryish tint tasting berry bland flavor colour brew haze quality budweiser apparent hazey smell raspberry aroma rasberry aroma raspberry flavoring haze interesting smelling berry haze kind brewery tasting aroma berry sweetness purple raspberry aromas berry smell berryish raspberries flavored pink haze brew sweetness raspberries flavorful bitter raspberry astringent raspberry flavoring raspberry haze slightly rasberry aromas fruity brews rasberry sweetness purple raspberries flavor bland hazey heffe raspberries flavor rasperry flavoring raspberries pleasant raspberry tasting rapberry aroma flavored raspberries brew amber haze definitely astringency raspberries berry quality rasberry sparkling
10,Dubbel Ale,tasting dubbel dubbels flavored dubbel flavors dubbels delicious dubbel flavor delicious dubbel tasty dubbel dubbel tastes dubbel tasty dubbel tasted dubbels tasty dubbel aroma dubbel aromas brews dubbel dubbel chocolate dubbelish sweet brewed dubbel dubbel coffee creamy dubbel fruitiness dubbels aroma dubbel aroma dubbels dubbel drinkability drinkable dubbel drink dubbel dubbel drink dubbel ale barleywine dubbel bottled dubbel dubbel fruits dubbel drinkable drinkable dubbels flavor dubbels make dubbel dubbel brewed dubbels yeast dubbel alcohol drinking dubbel dubbel smell flavor dubbel dubbels spice dubbel fruity yeastiness flavor yeasty dubbel dubbelish dubbels fruits fruit dubbels dubbel variety make dubbels dubbel licorice dubbel cinnamon dubbel color drinkability dubbel yeasty flavors smells dubbel yeasty flavor dubbel brownish barley dubbel tasting brew dubbels herbally flavorful brew spiced dubbel drinkability dubbels roast dubbel flavor yeasty alcoholish flavor dubbel style dubbel caramel dubbel redish sweetness dubbels dubbel enjoyable dubbel distinctive bitter dubbel enjoyable dubbel sweet dubbel dubbel drinking style dubbel sweet dubbels yeast tasting lager dubbel pleasant dubbel yeast flavor pretty dubbel digest dubbel yeast flavors dubbel pleasant quality dubbel dubbel characteristics classic dubbel dubbels pretty dubbel 12oz dubbel sweet dubbels 12ozer prefer dubbel cellar dubbel tasty brew flavor ale yeast flavours bready dubbel brew tasty different dubbels smoothest dubbels enjoyable dubbels flavorful allagash style dubbels different dubbel dubbel beautiful flavors yeast somewhat dubbel dubbel spice flavor yeast sip dubbels allagash tasting experience dubbels specific flavour dubbel favorite cidery flavor smooth dubbel prefers dubbels palate dubbel typey dubbel clean dubbel wonderful dubbel favorite dubbels wonderfully dubbel dubbel making perfect dubbel dry dubbel excellent dubbel tasting belgian dubbel pretty dubbel classic crafted dubbel tasting funky cold dubbelish classic dubbels belgian tasting flavor brew tasty flavors dubbel makes dubbel meaning yeast tastes belgian flavor dubbel fizzy bready flavors dubbel prefer aroma yeasty undertones dubbel dubbel pales dubbel poured
17,Widmer Hefeweizen,flavorful hefeweizens flavorful hefeweizen hefeweizen flavor hefeweizen flavors flavors hefeweizen hefeweizen flavorless beers hefewezens traditional hefeweizens hefeweizen tastes drinkability hefeweizen hefeweizen ipa hefeweizens style hefeweizen tasty flavor hefeweizen traditional hefeweizen hefeweizen brewery hefeweizen drink hefeweizen kind tastes hefeweizen brewed hefeweizens hefeweizen citrusy funky hefeweizens hefeweizen drinkable hefeweizens alcohol compare hefeweizens hefeweizen aromas hefeweizen style hefeweizens underwhelming compared hefeweizens comparisons hefeweizens bland hefeweizen beers hefe hefeweizens popular hefe beers hefe flavors hefeweizens drinkable review hefeweizen aroma hefeweizens drinking hefeweizen different hefeweizens hefeweizens mildly lighter hefeweizens hefeweizens compare recommend hefeweizen hefeweizens traditionally make hefeweizen watered hefeweizen decent hefeweizen hefeweizen enjoyable hefeweizens barley flavors hefes hefeweizen yeasty hefeweizens wise hefeweizen enjoy hefeweizens horrible hefe flavor hefeweizen wheat hefeweizen mild standard hefeweizens hefeweizens favorite hoppier hefeweizens citrus hefeweizen creamy hefeweizen reviewing hefeweizen favorite hefeweizen wheat hefeweizen hefeweizen luscious wheat hefeweizens hefeweizen solid hefeweizens wheat style hefeweizen review hefewezen hefeweizen pretty hefeweizen qualities hefeweizen vibrant brew hefe budweiser hefeweizen hefeweizen darker hefeweizen interesting hefeweizen characteristics hefeweizen appropriate love hefeweizens hefeweizens better hefeweizen make hefeweizen color hefeweizen mixture marketed hefeweizen hefeweizens comparisons brew hefes hefeweizen compare fruity hefeweizen hefeweizen decent hefeweizen favorite hefeweizen definitely hefeweizen uncommonly does hefeweizen hefeweizen bad bad hefeweizens advertised hefeweizen color hefeweizen solid hefeweizen hefeweizens medium different hefeweizen weizen flavors hefeweizen label excellent hefeweizen hefeweizen dry usually hefeweizens listed hefeweizen hefeweizen fairly hefewizen hefeweizen usually underwhelming hefeweizen hefeweizen bright original hefeweizen hefeweizen pale hefeweizens lately hefeweizen banana hefeweizens goes hefeweizens hefeweizen menu craving hefeweizen reliable hefeweizen hefeweizen look ordered hefeweizen traditional hefewiezen best hefeweizen yeast hefeweizen colour hefeweizen hefeweizens tap better hefeweizen hefeweizen yeast hefeweizen orange hefeweizen cream hefeweizen best widmer beers worst hefeweizens hefeweizen slightly impressed hefeweizens uninteresting hefeweizen bland hefe hefeweizen typical plenty hefeweizens hefeweizens probably hefeweizen liked using hefeweizen hefeweizen refreshing classic hefeweizen classic heffeweizen reminiscent hefeweizens
30,Trois Pistoles,beers trois brew trois breweries trois brews trois quebecoise beers flavors trois alcohol trois trois drinkable darker beers quebec brew belgian beers trois mellow drinkable trois bottles trois belgian flavor belgian flavors delicious trois flavorful belgian brown trois darker ales aroma beers belgian brew wine trois belgian flavours belgian sweetness belgium beers homebrewer trois flavors belgian pistoles brew beers belgians tasty beers belgian brews ale trois creamiest beers 12oz trois flavored beers canadian beers flavorful alcohol alcohols belgian trois pistole belgian ales trois pistoles stout darker chocolate trois brown ale burgundy brew darker flavors brewed quebec tasting belgian bourbon flavors licorice bourbon belgian brewed different beers drinking trois belgian tasting belgian ale beers flavors flavourful brew chocolate stout sweetness belgian flavor belgian liquorice flavor beers belgium multiple flavor aromas belgian belgians alcohol drinkable belgian brew flavorful ales trois belgian tasty brew bold color stout black stouts alcohol flavors flavor beers belgian alcohol flavors alcohol caramel belgian beers looks bourbon colored alcohol belgian delicious belgian sweetness liquorish potent belgian pistoles sweetness belgian aroma aroma belgian tasty brew belgian chocolates stout color quebec brewery vanilla alcohol alcohol bold drinkability trois brown brew belgian syrupy following flavors quebec brewer interesting beers color beers looking beers beers canadian darker caramels flavorful ale style beers chocolate belgian brew black brew belgium enjoyable brew brewery flavor pistoles alcohol creamy beers belgian trois trois pistols tastes belgian belgian candied looking brew flavors brew multiples flavor brews belgium canadian brews belgian drinkable brew tasty brew aroma multiples alcohol brew flavors brew look tasting beers lighter beers pistoles aroma libertine trois brown caramel octane ales caramel alcohol finest beers beers blend brownish brew alcohol brown tasting ales unibroue beers tasting brew chocolatey alcohol pistoles chocolate beers seen belgians drinkable triple ale tasted belgian delicious brew black brew beers color
31,Blanche De Chambly,flavorful blanche beers blanche flavorful brew flavor blanche quebec brew chambly beers yeast blanche beers aroma spice blanche lemon blanche summerish brew belgian tasting brew flavor brew style brew flavored brew pale best brew brewing style spice beers beers spice belgian beers blanche drink styled beers worthy brew quality brew spiced beers beercolor belgian brewing beers coriander favourite brews brew aroma brew white enjoyable brew darker brew tasty brew belgian sweet particular brew flavor milky colored brew favorite brews interesting brew quebec brewed flavors belgian decent brew particular flavor flavors brew beers mild magnificent brew white flavours beercolor gold wines cinnamon looking brew winey flavor flavored witbier coloured brew brew pretty drinkability tasting flavors witbier outstanding brew beers pale tasting witbier brew aromas witbiers blanche whet flavours brewed quebec witbier flavors creaminess brew citric flavore witbier flavorful moderate sweetness beers belgian alcohol sweetness yeasty sweetness flavoring witbier beerlike sour sweetness coriander hoegaarden flavour flavor brewed yeasty flavor mild flavor beers style alcohol flavor yeasty flavors coriander blanche style breweries style flavors pleasant beers important flavour drinkable pale beers quality suggested brewery sweetness flavorful flavor suggested bright flavorful citrucy flavors witbier flavor brewers spice coriander flavorful beers canadian witbiers flavors brew great wines chagrin brewed white brew enjoyed golden brew flavor drinkability color blanche brewery style sweetness yeasty abv flavorful flavors coriander flavors yeasty wine flavor flavorful drinkable brew look sweet blanche flavors sweetness flavour bodied flavours decent interesting beers pale ale chilled blanche drinkability brew aroma brew drink blanche spicey sweetness flavored ale sweetness alcohol flavor mild drinkable flavored flavors drinkability chambly noire pale ales white blanche whit flavour flavour pleasantly flavor greatly delicious belgian flavors appearance flavours coriander considering brew belgian aroma decent flavor citric flavor belgian blanche flavor bright sweetness tartness brew definitely brew wit quality flavor
33,Maudite,beers maudite maudite beers maudite ale brew maudite alcohol maudite maudite alcohol maudite drinkable maudite drink flavors maudite belgian ale belgian ales belgians ale syrupy beers ales maudite drinking maudite belgian beers aroma beers refined ale delicious ale golden ale exceptional ale tasting maudite drink maudite exceptional brew unibroue beers belgian brew unibroue ales fermented ale malty beers ales sparkling brilliant ale ales flavour wine maudite golden ales unibrou beers ales drinkability beers unibroue ales ipa unibrous beers belgian sweetness maltier beers tasting ale beers scarily alcoholic flavor tastey maudite ale drinkability beers belgian best brew unibroue ale drinkability belgian ale flavor prominent beers beverages ale ale flavors ale quality distinctive ale beers amazingly quebecois beers aroma ale ale belgian alcoholic caramel canadian beers belgian brews exceptionally ale belgian alcohol spectacular brew alcohol estery darker beers caramel alcohol ale lightened maudite tasted beers bready sweetness ethanol amber ale intriguing beers ale aromas belgian caramel devilish ale beers flavor belgian brewery vintage ale beers notable belgian flavorful belgium ale crisp ale pale ale farmhouse ale sugars ale drinkable belgian best beers delicious maudite fantastic ale white ale champagne maudite estery alcohol syrupy belgians favorite ale pale ales flavors ale sweet ale flavorful alcohol unique beers belgian flavor belgiany flavor quebec brew mahogany ale brewery belgian beers delicious flavorful brew alcohol caramel ale brew remarkable brew beers tasting amber ales ale brewery drinkability brew american beers beers belgium belgian drinkable ales brew maudite aroma style ales heavenly brew exceptional drinkability malt beers canadian brew brew belgian style ale best brews belgium ales favorite brew delightful brew brew remarkable effervescence brew flavor maudite beers flavors sweetness beers maudite spicy alcohol brew smoothest beers ale aroma drinkability flavor contrast beers ale alcohol belgian brewerys favourite beers sweetness belgian cinnamon alcohol belgian brewed brew amazing
34,La Fin Du Monde,european beers monde beers tripel beers beers golden brewed tripel tripel brew tripel stout belgian beers belgian ale french ale tripel brewery tripel brews golden ale tripel ale belgian brew golden brew brewery belgian brews tripel beers tripel fermented beers beers tasting beers belgium tripel drinkability tasting beers drinkability tripel monde brew brew golden belgian ales tripel brewed tasting tripel beers french tripel ales beers europe brew belgian delightful brew champagne brew tasting ale enjoyable brew tasting brew tripel alcohol drinkable belgian beers aromas brewing belgian brew belgium beers delicious belgian champagne alcohol tripel delightful ale belgian brewer belgium ale drinkability belgian remarkable brew favourite beers tastey brew beers discovered tripel champagne brew ale beers unique ale brewery belgian brews drinkability brew beers drinkability alcoholic brew beers ale favorite beers drinkable tripel brew belgians brewed belgian brewed belgians delicious ale tripel tasting style beers stout tripel fermentation golden drinkability budweiser european ale beers special drinkable belgians belgian brewed breweries golden tasting belgian tripel drinkable selection beers drinkable brewery drinkable brew ale belgian interesting brew brewing belgians beers world ale champagne best brew drinkable belgium belgian breweries alcohol brew beers opinion delicious brew ale golden brewery enjoyed brew enjoyable yeasty beers belgians brewed stout alcohol german brew beers attractive drinking belgian brew foolishly guinness stout different beers type beers tripel alcoholic lovely brew ale drinkability beers versatility beers fin exceptional beers flavour beers beers magical beers rare champagne beers beers similar beers quality brew tripels tripels alcohol alcohol belgian brew drinkability beers brewery stout drink extraordinary brew brewed belgium american brew imperial stout beers beautiful world brewery drinkable belgiums beers canada magnificent brew beautiful beers drinking tripel brew delicious pale ale brew champagne belgium brews belgium ales brew enjoying style brewery beers mouthfeel sophisticated brew favorite brewery beers brussels belgian tripel
39,Alpha King,beers alpha pale ale pale ales ipa ale ale ipa ale quality ale flavorful ales ipa american ale ale pale quality ale ale ipas american ales ale flavor ale review ale alpha king ipa ales ipas ale recommended interesting ipa ale flavors brewing alpha best ales ale styles mainstream ipas ale especially ale style drinkability ale pale ipa ipa alpha ale regular ale pleasant mild ale midwest ales brews alpha best ale ale delicious brew alpha amber ale smooth ale ales mix sparkling ale elusive ipa color ale exceptional ipa ale brew ale beers smoothest beers love ale brew ipa beers pale similar ale flavorful ipa ales beers bodied ale best ipas ipa pale ale intense ale normal ale somewhat quality ipa ale definately ale mild drinkability ipa hop ales breweries ipa favorite beerstyle ale drinkability orange ale ale decent beers phenomenal beers ipas american beers ale suggested brown ale ale classic ale excellent favorite ipa ales personally ale slight ale totally ipa king style ipa ipa exceptionally colored ale beers exceptional ale definitely ale alcoholic mediocre ipa rounded ale ale moderate unusual ipas ale supreme beerstyle fine ale barrel ale ale reddish perfect ale ipa quality ale outstanding aroma ale wicked ale ale white favorite ipas make ale ipas intense ipa heavenly ale considering bold ipa ipa extraordinary certain ipa summer ale awesome ipa ipas pales beverage alpha brewed ipa torn ipa fantastic ipa ale slightly mild ipa bodied ipa ales compare ipa incredibly ale citrus ale extremely ipa pleasantly old ale ale normally beers pleasant flavors ipa ipa flavour beers appearance ales similar ipa flavor unique ales american ipa strong ale ales definitely carbonated ale ale enjoyable ale hybrid tasty ale ale color ipa great experienced ipa ipas chestnut ale great ale american ale exceptional style beers
59,White,witbier beers coriander beers beers witbier tasting witbier witbier wheat belgian tasting belgian flavor belgian beers beers witbiers brewery witbier belgian ale witbier flavor witbier coriander coriander flavorful coriander witbiers brewed witbiers coriander belgian beers wheat brew witbier belgian brew wheat beers brewing belgian coriander flavor coriander witbiery citrusy belgian witbeer flavors tasting wheaty witbier brewed delicious belgian belgian flavors white coriander coriander white wheat ale witbier belgian witbiers brewed coriander tasting witbier flavorful flavors coriander flavours witbier beers belgium flavor belgian witbiers belgian brewers belgian wheaty flavor coriander alcohol pale ale belgian witbier coriander citrusy yellowish beers witbier flavourful citrus witbiers witbier tasty tasty belgian delicious witbier witbier aroma flavor coriander citrusy coriander witbier tasted coriander flavors citrus wheaty wheat tasting coriander sweetness flavour witbiers witbier drinkability belgian witbiers coriander bright white beers drinking witbier flavours coriander tastes belgian white ale witbier aromas drank belgian coriander lemoniness wheat flavor wheat citrusy witbier tastes wheaty alcohol witbiers tasted drink belgian sweetness coriander beercolor makes coriander vanilla citrus belgian wheat ales whit beers white brew coriander beautifully tasty coriander belgian wheat wheaty citrus sweetness belgian drink witbier slight coriander wit beers coriander tones brew white witbier spices witbeer yeasty ounce coriander tasty witbier coriander awesomely drinkable belgian coriander lemonade yummy belgian citrusy wheaty aroma wheaty beers citrus yeasty belgian flavorful wheat ale belgian flavorful witbier flavor witbiers wheat belgian citrusy wheat brew pale belgian fermented belgian aroma witbiers fermented coriander tasty wheat brew ale wheat witbier whitish fruity belgian witbier drinkable belgian yeasty witbier fruit wheat coriander coriander tastes brewer belgian orange coriander lemony coriander belgiany yeasty belgian yeastiness wheat flavour coriander pleasant tasting white white flavorful witbier spice white flavor phenolic flavor coriander lemony coriander wheat citrus coriander aroma coriander coriander slightly coriander sweet wheaty aromas pleasant coriander interesting beers
